inv_serial_nbr_key,inv_alt_id,inv_location_rec_1,inv_status,inv_mk_model_nbr,inv_model_nbr_category,inv_desc
111397,111397,9001,O,BSSTD894-09/08/01,B,BEDROOM 4 PC SET
201-00878,201-00878,3,N,BYPER49000,B,BEDROOM YOUTH SET
201-01112,201-01112,1,N,BYPER49000,B,BEDROOM YOUTH SET
201-01113,201-01113,1,N,BYPER49000,B,BEDROOM YOUTH SET
101-00206,101-00206,9001,O,BYPROP675-45/31/27,B,BEDROOM YOUTH SET
101-00207,101-00207,9003,O,BYPROP675-45/31/27,B,BEDROOM YOUTH SET
101-00208,101-00208,9003,O,BYPROP675-45/31/27,B,BEDROOM YOUTH SET
101-00209,101-00209,9001,O,BYPROP675-45/31/27,B,BEDROOM YOUTH SET
110394,110394,9001,O,BYSTD586-09/18/03,B,BEDROOM YOUTH SET
111233,111233,9003,O,BYSTD586-09/18/03,B,BEDROOM YOUTH SET
110188,110188,9001,O,BYSTD597-09/18/03,B,BEDROOM YOUTH SET
110189,110189,9001,O,BYSTD597-09/18/03,B,BEDROOM YOUTH SET
111234,111234,9001,O,BYSTD597-09/18/03,B,BEDROOM YOUTH SET
20746F9200,20746F9200,1,N,CDACEAX1470-UR11P,C,COMPUTER TOWER
6011EC6300,6011EC6300,9003,O,CDACEAZ3771-VR10P,C,COMPUTER ALL IN ONE
60158C6300,60158C6300,1,N,CDACEAZ3771-VR10P,C,COMPUTER ALL IN ONE
108364,108364,1,R,CDACEVM261UC4301/,C,COMPUTER TOWER
111113,111113,9001,O,CDCOMC05700F/A0C2,C,COMPUTER TOWER
111114,111114,6003,O,CDCOMC05700F/A0C2,C,COMPUTER TOWER
4CS10709V5,111268,9003,O,CDCOMCQ1-1225,C,COMPUTER ALL IN ONE
4CS10709VW,111185,9003,O,CDCOMCQ1-1225,C,COMPUTER ALL IN ONE
4CS10709XM,111183,9001,O,CDCOMCQ1-1225,C,COMPUTER ALL IN ONE
4CS10709Y9,111269,9001,O,CDCOMCQ1-1225,C,COMPUTER ALL IN ONE
4CS1070B0N,111184,6003,O,CDCOMCQ1-1225,C,COMPUTER ALL IN ONE
MXU1520DQS,MXU1520DQS,1,N,CDCOMCQ2701,C,COMPUTER TOWER
MXU1520DQX,MXU1520DQX,1,N,CDCOMCQ2701,C,COMPUTER TOWER
MXU1520DR7,MXU1520DR7,1,N,CDCOMCQ2701,C,COMPUTER TOWER
109976,109976,9001,O,CDCOMCQ4010F,C,COMPUTER TOWER
110321,110321,9003,O,CDCOMCQ5300,C,COMPUTER TOWER
110322,110322,3,R,CDCOMCQ5300,C,COMPUTER TOWER
110769,110769,9001,O,CDCOMCQ5600,C,COMPUTER TOWER
110770,110770,9001,O,CDCOMCQ5600,C,COMPUTER TOWER
111231,111231,3,R,CDCOMCQ5700F,C,COMPUTER TOWER
300835,300835,3,R,CDCOMSR5310,C,COMPUTER TOWER
979321,979321,1,N,CDCYBX-CRUISER2RED,C,COMPUTER TOWER
979322,979322,3,N,CDCYBX-CRUISER2RED,C,COMPUTER TOWER
3CR1021PZM,111118,9001,O,CDHP 100-5155,C,COMPUTER ALL IN ONE
3CR10303QD,111117,9001,O,CDHP 100-5155,C,COMPUTER ALL IN ONE
3CR1040QC2,111055,9001,O,CDHP 100-5155,C,COMPUTER ALL IN ONE
3CR1040QCQ,111056,9003,O,CDHP 100-5155,C,COMPUTER ALL IN ONE
3CR1040QCT,111053,9001,O,CDHP 100-5155,C,COMPUTER ALL IN ONE
4CS1470619,4CS1470619,9001,O,CDHP 1201125,C,COMPUTER ALL IN ONE
4CS147061C,4CS147061C,9003,O,CDHP 1201125,C,COMPUTER ALL IN ONE
4CS147061X,4CS147061X,9003,O,CDHP 1201125,C,COMPUTER ALL IN ONE
4CS147064R,4CS147064R,3,N,CDHP 1201125,C,COMPUTER ALL IN ONE
32C603SXYV,32C603SXYV,3,N,CDHP 5201030REF,C,COMPUTER ALL IN ONE
32C603SY5D,32C603SY5D,1,N,CDHP 5201030REF,C,COMPUTER ALL IN ONE
32F8186F,32F8186F,9001,O,CDLEN77291KU,C,COMPUTER ALL IN ONE
DC8B86CC,DC8B86CC,5001,D,CDLEN77291KU,C,COMPUTER ALL IN ONE
QS00248601,QS00248601,9001,O,CDLEN77291KU,C,COMPUTER ALL IN ONE
QS00248626,QS00248626,9003,O,CDLEN77291KU,C,COMPUTER ALL IN ONE
130006331,130006331,9001,O,CDSONVPCJ115FX/B,C,COMPUTER ALL IN ONE
130062838,130062838,3,R,CDSONVPCJ115FX/B,C,COMPUTER ALL IN ONE
00C8A71601,00C8A71601,9001,O,CLACE5250-0468,C,COMPUTER LAPTOP
00CD801601,00CD801601,9003,O,CLACE5250-0468,C,COMPUTER LAPTOP
00CE171601,00CE171601,9001,O,CLACE5250-0468,C,COMPUTER LAPTOP
00CFFB1601,00CFFB1601,9003,O,CLACE5250-0468,C,COMPUTER LAPTOP
00D0471601,00D0471601,9003,O,CLACE5250-0468,C,COMPUTER LAPTOP
00D0A81601,00D0A81601,9001,O,CLACE5250-0468,C,COMPUTER LAPTOP
12FAE01601,111257,9001,O,CLACE5253B893,C,COMPUTER LAPTOP
12FE701601,111255,9001,O,CLACE5253B893,C,COMPUTER LAPTOP
1037957600,1037957600,9003,O,CLACE5349-2899,C,COMPUTER LAPTOP
10388A7600,10388A7600,3,N,CLACE5349-2899,C,COMPUTER LAPTOP
1096DD7600,1096DD7600,9001,O,CLACE5349-2899,C,COMPUTER LAPTOP
11C800,11C800,6001,O,CLACE5349-2899,C,COMPUTER LAPTOP
11CA26,11CA26,9001,O,CLACE5349-2899,C,COMPUTER LAPTOP
11CA2B,11CA2B,9003,O,CLACE5349-2899,C,COMPUTER LAPTOP
2708849816,110891,9001,O,CLACEAS5251-1005,C,COMPUTER LAPTOP
B1241601,110534,9001,O,CLACEAS5251-1005,C,COMPUTER LAPTOP
J451964456,J451964456,9003,O,CLASUK53U,C,COMPUTER LAPTOP
J45200145C,J45200145C,1,R,CLASUK53U,C,COMPUTER LAPTOP
J452007454,J452007454,9001,O,CLASUK53U,C,COMPUTER LAPTOP
J452147454,J452147454,9003,O,CLASUK53U,C,COMPUTER LAPTOP
4CA1028TSH,4CA1028TSH,9003,O,CLCOMCQ56115DXREF,C,COMPUTER LAPTOP
4CA112B3HJ,4CA112B3HJ,1,R,CLCOMCQ56115DXREF,C,COMPUTER LAPTOP
4CA1145Y5B,4CA1145Y5B,5001,D,CLCOMCQ56115DXREF,C,COMPUTER LAPTOP
4CA1145YQS,4CA1145YQS,9001,O,CLCOMCQ56115DXREF,C,COMPUTER LAPTOP
4CA1166204,4CA1166204,3,R,CLCOMCQ56115DXREF,C,COMPUTER LAPTOP
9W8S1N1,111043,9001,O,CLDELM5030-V160,C,COMPUTER LAPTOP
5B5A9E2200,110583,9001,O,CLGATN5387V,C,COMPUTER LAPTOP
3CF0344CYX,111112,9003,O,CLHP G56129,C,COMPUTER LAPTOP
3CF1026QWT,111585,9003,O,CLHP G62407DXREF,C,COMPUTER LAPTOP
CBU3425359,111511,9003,O,CLLENG550CEL,C,COMPUTER LAPTOP
CBU3425394,111512,1,R,CLLENG550CEL,C,COMPUTER LAPTOP
CBU3425424,111411,1,R,CLLENG550CEL,C,COMPUTER LAPTOP
CBU3425540,111413,9003,O,CLLENG550CEL,C,COMPUTER LAPTOP
3DZ702206K,3DZ702206K,9003,O,CLSAMR480,C,COMPUTER LAPTOP
130109649,110828,9003,O,CLSONVGN-NW310F/S,C,COMPUTER LAPTOP
113251669,113251669,9001,O,CLSONVGN-NW350F/S,C,COMPUTER LAPTOP
013036918G,013036918G,9003,O,CLSONVGN-NW350F/S,C,COMPUTER LAPTOP
S013001071,S013001071,9003,O,CLSONVPC-EC2TFX/W1,C,COMPUTER LAPTOP
S013001090,S013001090,9001,O,CLSONVPC-EC2TFX/W1,C,COMPUTER LAPTOP
013011321/,013011321/,9003,O,CLSONVPC-EE31FX/BJ,C,COMPUTER LAPTOP
013060925B,013060925B,9003,O,CLSONVPC-EE31FX/BJ,C,COMPUTER LAPTOP
130081738,130081738,9003,O,CLSONVPC-F12AFM/H,C,COMPUTER LAPTOP
130135558,130135558,9001,O,CLSONVPC-F12AFM/H,C,COMPUTER LAPTOP
130173325,130173325,9001,O,CLSONVPC-F12AFM/H,C,COMPUTER LAPTOP
130123689,130123689,9003,O,CLSONVPCE25FM/B,C,COMPUTER LAPTOP
130350265,130350265,6003,O,CLSONVPCE25FM/B,C,COMPUTER LAPTOP
13039644F,13039644F,9001,O,CLSONVPCE25FM/B,C,COMPUTER LAPTOP
2B317992Q,111116,9001,O,CLTOSC655-S5123,C,COMPUTER LAPTOP
2B319138Q,111153,9003,O,CLTOSC655-S5123,C,COMPUTER LAPTOP
2B319331Q,111155,9003,O,CLTOSC655-S5123,C,COMPUTER LAPTOP
2B319349Q,111154,9001,O,CLTOSC655-S5123,C,COMPUTER LAPTOP
3B305810Q,111271,9003,O,CLTOSC655-S5123,C,COMPUTER LAPTOP
2B160471Q,111581,9001,O,CLTOSC655-S5125,C,COMPUTER LAPTOP
2B168305Q,111170,9001,O,CLTOSC655-S5125,C,COMPUTER LAPTOP
2B169562Q,111580,9001,O,CLTOSC655-S5125,C,COMPUTER LAPTOP
2B170206Q,111582,9001,O,CLTOSC655-S5125,C,COMPUTER LAPTOP
2B171137Q,111172,9003,O,CLTOSC655-S5125,C,COMPUTER LAPTOP
ZA151449Q,111507,9001,O,CLTOSC655-S5125,C,COMPUTER LAPTOP
ZA175662Q,111505,9001,O,CLTOSC655-S5125,C,COMPUTER LAPTOP
8B161529Q,8B161529Q,9001,O,CLTOSC655-S5335,C,COMPUTER LAPTOP
8B162412Q,8B162412Q,9001,O,CLTOSC655-S5335,C,COMPUTER LAPTOP
8B167976Q,8B167976Q,9003,O,CLTOSC655-S5335,C,COMPUTER LAPTOP
3B085833Q,111052,9001,O,CLTOSC655D-55084B,C,COMPUTER LAPTOP
3B091340Q,111050,9001,O,CLTOSC655D-55084B,C,COMPUTER LAPTOP
4B198112Q,111541,9001,O,CLTOSC655DS-5135,C,COMPUTER LAPTOP
4B198464Q,111540,9001,O,CLTOSC655DS-5135,C,COMPUTER LAPTOP
4B198518Q,111543,9001,O,CLTOSC655DS-5135,C,COMPUTER LAPTOP
2B126604Q,111385,9003,O,CLTOSC655S-5142,C,COMPUTER LAPTOP
2B126995Q,111387,9001,O,CLTOSC655S-5142,C,COMPUTER LAPTOP
2B127955Q,111386,9001,O,CLTOSC655S-5142,C,COMPUTER LAPTOP
59167009Q,109693,6003,O,CLTOSL355-57905,C,COMPUTER LAPTOP
Y9602042K,110082,9003,O,CLTOSL455-S5975B,C,COMPUTER LAPTOP
YA041296W,111044,9001,O,CLTOSS5096-P6100,C,COMPUTER LAPTOP
4076021601,110324,9001,O,CNACEAOD250-1151,C,COMPUTER NETBOOK
305C511601,110507,9001,O,CNACEEM250-1915,C,COMPUTER NETBOOK
305EE21601,110508,9001,O,CNACEEM250-1915,C,COMPUTER NETBOOK
31000824,110898,9003,O,CNDELDLREFMINI101,C,COMPUTER NETBOOK
33525751,110897,9003,O,CNDELDLREFMINI101,C,COMPUTER NETBOOK
33526612,110894,9001,O,CNDELDLREFMINI101,C,COMPUTER NETBOOK
CNU92462LX,109979,9001,O,CNHP 110-1030NR,C,COMPUTER NETBOOK
1600940316,1600940316,9001,O,CTACEICONIAA200RED,C,COMPUTER TABLET
1600944615,1600944615,3,N,CTACEICONIAA200RED,C,COMPUTER TABLET
1104362716,1104362716,9003,O,CTACEICONIAA200SIL,C,COMPUTER TABLET
1104363316,1104363316,1,N,CTACEICONIAA200SIL,C,COMPUTER TABLET
Q1520PUZ38,Q1520PUZ38,9001,O,CTAPPIPAD,C,COMPUTER TABLET
Q1520SLZ38,Q1520SLZ38,9001,O,CTAPPIPAD,C,COMPUTER TABLET
Q1520TFZ38,Q1520TFZ38,9003,O,CTAPPIPAD,C,COMPUTER TABLET
5HNQM8DKPH,5HNQM8DKPH,9001,O,CTAPPIPAD2,C,COMPUTER TABLET
6GC4AADKPH,6GC4AADKPH,9001,O,CTAPPIPAD2,C,COMPUTER TABLET
6GJDQUDFHW,6GJDQUDFHW,9003,O,CTAPPIPAD2,C,COMPUTER TABLET
6GME7QDKPH,6GME7QDKPH,9001,O,CTAPPIPAD2,C,COMPUTER TABLET
