"id","time_created","time_updated","recurring_invoice_id","distribution_account_id","distribution_profit_center_id_sfk","distribution_amount"
"2f3f3ae8-05da-11ec-bfd5-005056bb008a","2021-08-25 19:25:19.532518","2021-08-25 19:25:19.532518","2e5fb27e-05da-11ec-9db4-005056bb008a","e5c6cc28-05d9-11ec-a5dd-005056bb008a","10","1875.00"
"2f3f3b24-05da-11ec-bfd6-005056bb008a","2021-08-25 19:25:19.532524","2021-08-25 19:25:19.532524","2e5fb27e-05da-11ec-9db4-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-1875.00"
"2f3f3b60-05da-11ec-bfd7-005056bb008a","2021-08-25 19:25:19.53253","2021-08-25 19:25:19.53253","2e5fb2ec-05da-11ec-9db5-005056bb008a","e5c6cc28-05d9-11ec-a5dd-005056bb008a","14","4226.52"
"2f3f3b9c-05da-11ec-bfd8-005056bb008a","2021-08-25 19:25:19.532536","2021-08-25 19:25:19.532536","2e5fb2ec-05da-11ec-9db5-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-4226.52"
"2f3f3be2-05da-11ec-bfd9-005056bb008a","2021-08-25 19:25:19.532542","2021-08-25 19:25:19.532542","2e5fb35a-05da-11ec-9db6-005056bb008a","e5c6cc28-05d9-11ec-a5dd-005056bb008a","15","4797.00"
"2f3f3c1e-05da-11ec-bfda-005056bb008a","2021-08-25 19:25:19.532548","2021-08-25 19:25:19.532548","2e5fb35a-05da-11ec-9db6-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-4797.00"
"2f3f3c5a-05da-11ec-bfdb-005056bb008a","2021-08-25 19:25:19.532555","2021-08-25 19:25:19.532555","2e5fb3c8-05da-11ec-9db7-005056bb008a","e5c6cc28-05d9-11ec-a5dd-005056bb008a","16","6958.00"
"2f3f3c96-05da-11ec-bfdc-005056bb008a","2021-08-25 19:25:19.532561","2021-08-25 19:25:19.532561","2e5fb3c8-05da-11ec-9db7-005056bb008a","e5c5f69a-05d9-11ec-a533-005056bb008a","9000","-6958.00"
"2f94deee-05da-11ec-95ac-005056bb008a","2021-08-25 19:25:20.093783","2021-08-25 19:25:20.093783","2eb46670-05da-11ec-8e48-005056bb008a","e6305198-05d9-11ec-a022-005056bb008a","1","5000.00"
"2f94e2f4-05da-11ec-95ad-005056bb008a","2021-08-25 19:25:20.093876","2021-08-25 19:25:20.093876","2eb46670-05da-11ec-8e48-005056bb008a","e62fafd6-05d9-11ec-9fb1-005056bb008a","9000","-5000.00"
"2f94e34e-05da-11ec-95ae-005056bb008a","2021-08-25 19:25:20.093885","2021-08-25 19:25:20.093885","2eb46d6e-05da-11ec-8e49-005056bb008a","e6305198-05d9-11ec-a022-005056bb008a","3","5500.00"
"2f94e394-05da-11ec-95af-005056bb008a","2021-08-25 19:25:20.093892","2021-08-25 19:25:20.093892","2eb46d6e-05da-11ec-8e49-005056bb008a","e62fafd6-05d9-11ec-9fb1-005056bb008a","9000","-5500.00"
"2f94e3da-05da-11ec-95b0-005056bb008a","2021-08-25 19:25:20.093907","2021-08-25 19:25:20.093907","2eb46e0e-05da-11ec-8e4a-005056bb008a","e6305198-05d9-11ec-a022-005056bb008a","4","5000.00"
"2f94e470-05da-11ec-95b1-005056bb008a","2021-08-25 19:25:20.093914","2021-08-25 19:25:20.093914","2eb46e0e-05da-11ec-8e4a-005056bb008a","e62fafd6-05d9-11ec-9fb1-005056bb008a","9000","-5000.00"
"2f94e4b6-05da-11ec-95b2-005056bb008a","2021-08-25 19:25:20.09392","2021-08-25 19:25:20.093921","2eb46e90-05da-11ec-8e4b-005056bb008a","e6305198-05d9-11ec-a022-005056bb008a","2","7051.00"
"2f94e4f2-05da-11ec-95b3-005056bb008a","2021-08-25 19:25:20.093927","2021-08-25 19:25:20.093927","2eb46e90-05da-11ec-8e4b-005056bb008a","e62fafd6-05d9-11ec-9fb1-005056bb008a","9000","-7051.00"
"2f94e538-05da-11ec-95b4-005056bb008a","2021-08-25 19:25:20.093933","2021-08-25 19:25:20.093934","2eb46f62-05da-11ec-8e4c-005056bb008a","e6305198-05d9-11ec-a022-005056bb008a","5","4360.00"
"2f94e574-05da-11ec-95b5-005056bb008a","2021-08-25 19:25:20.09394","2021-08-25 19:25:20.09394","2eb46f62-05da-11ec-8e4c-005056bb008a","e62fafd6-05d9-11ec-9fb1-005056bb008a","9000","-4360.00"
