"id","itemfile_nbr","manufacturer_id","row_creator_id","created_at","updated_at","itemfile_nbr_first_1","itemfile_nbr_first_2","itemfile_1prod_2manuf","itemfile_1prod_3manuf","itemfile_mfg_code","itemfile_nbr_2_and_3","itemfile_2prod_2manuf","itemfile_2prod_3manuf","itemfile_model_nbr_4_18","itemfile_mfg_model_nbr","itemfile_model_nbr_5_18","itemfile_model_nbr_6_18","itemfile_desc_1","itemfile_desc_1_and_2","itemfile_desc_2","itemfile_days_out_of_stock","itemfile_nbr_pieces","itemfile_reg_price","itemfile_sale_price","itemfile_spiff","itemfile_wholesale_tax_percent","itemfile_average_cost","itemfile_last_cost","itemfile_commission_code","itemfile_furn_style","itemfile_special_fee_item","itemfile_gl_main_acct_1","itemfile_gl_sub_acct_1","itemfile_gl_main_acct_2","itemfile_gl_sub_acct_2","itemfile_gl_main_acct_3","itemfile_gl_sub_acct_3","itemfile_gl_main_acct_4","itemfile_gl_sub_acct_4","itemfile_gl_main_acct_5","itemfile_gl_sub_acct_5","itemfile_gl_main_acct_6","itemfile_gl_sub_acct_6","itemfile_gl_main_acct_7","itemfile_gl_sub_acct_7","itemfile_use_store_as_pc_indr","itemfile_serialized_indr","itemfile_cost_method_indr","vendor_id","ht_etl_schema","itemfile_percent_of_price","itemfile_qty_on_hand","itemfile_sell_service_pol_indr","itemfile_taxable_indr","itemfile_movie_type_indr","itemfile_rtr_pricing_type","itemfile_rto_spiff","itemfile_rtr_monthly_price","itemfile_normal_terms_monthly","itemfile_monthly_rto_price","itemfile_normal_terms_weekly","itemfile_weekly_rto_price","itemfile_discontinued_indr","itemfile_first_received_date","itemfile_first_received_year","itemfile_first_received_month","itemfile_first_received_day","itemfile_furniture_indr","itemfile_qty_on_order","itemfile_date_due_in","itemfile_last_changed_date","itemfile_book_value_nbr_months","itemfile_inv_cube_size","itemfile_inv_unit_weight","itemfile_upc_code","itemfile_min_accept_price","itemfile_mgrs_override_price","itemfile_list_price","itemfile_no_discount_sale_item","itemfile_rate_code","itemfile_freight_override_amt","itemfile_glacct_rentinv_main","itemfile_glacct_rentinv_sub","itemfile_glacct_pfydepadj_main","itemfile_glacct_pfydepadj_sub","itemfile_glacct_accumdep_main","itemfile_glacct_accumdep_sub","itemfile_recv_inv_status"
"11","ACARTEWK08CR5","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTEWK08CR5","TEWK08CR5","TEWK08CR5","EWK08CR5","AIR CONDITIONER","AIR CONDITIONER             8000 BTU","8000 BTU","0","0","258.990","0.000","0.00","0.00","143.000","143.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","6","515.94","26","519.74","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","1926","0.00","1100","0","5000","0","1200","0","N"
"12","ACARTEWK10CRN1BK3","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTEWK10CRN1BK3","TEWK10CRN1BK3","TEWK10CRN1BK3","EWK10CRN1BK3","AIR CONDITIONER","AIR CONDITIONER             10000 BTU","10000 BTU","0","0","323.990","0.000","0.00","0.00","198.450","198.450","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","6","647.94","26","649.74","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2426","0.00","1100","0","5000","0","1200","0","N"
"13","ACARTEWK12CRN1BK3","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTEWK12CRN1BK3","TEWK12CRN1BK3","TEWK12CRN1BK3","EWK12CRN1BK3","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","0","362.990","0.000","0.00","0.00","229.950","229.950","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","6","725.94","26","727.74","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2726","0.00","1100","0","5000","0","1200","0","N"
"14","ACARTWPAC12HR","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTWPAC12HR","TWPAC12HR","TWPAC12HR","WPAC12HR","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","0","648.990","0.000","0.00","0.00","334.950","334.950","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","12","1295.88","52","1299.48","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2452","0.00","1100","0","5000","0","1200","0","N"
"15","ACARTWWK05CR91N","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTWWK05CR91N","TWWK05CR91N","TWWK05CR91N","WWK05CR91N","AIR CONDITIONER","AIR CONDITIONER             5,000 BTU","5,000 BTU","0","1","258.990","0.000","0.00","0.00","0.000","156.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","331","public","0.00","0","","Y","","N","0.00","0.00","6","515.94","26","519.74","N",,"0","0","0","N","0",,"2019-06-27","24","0","0","","229.99","209.99","0.00","","1926","0.00","1100","0","5000","0","1200","0","N"
"16","ACCORCAMHE12A2","25",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CC","CCO","CCO","CC","CO","COR","ORCAMHE12A2","RCAMHE12A2","RCAMHE12A2","CAMHE12A2","AIR CONDITIONER","AIR CONDITIONER             12,000 BTU HEAT/COOL","12,000 BTU HEAT/COOL","0","1","570.990","0.000","0.00","0.00","309.000","309.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","72","public","0.00","2","","Y","","N","0.00","0.00","12","1139.88","52","1143.48","N",,"0","0","0","N","0","2018-12-13","2018-12-03","24","0","0","","439.99","409.99","0.00","","2152","0.00","1100","0","5000","0","1200","0","N"
"17","ACFRGAP12CR1SEJS","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGAP12CR1SEJS","GAP12CR1SEJS","GAP12CR1SEJS","AP12CR1SEJS","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","0","544.990","0.000","0.00","0.00","269.960","269.960","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","253","public","0.00","0","N","Y","N","N","0.00","0.00","9","1088.91","39","1091.61","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2739","0.00","1100","0","5000","0","1200","0","N"
"18","ACFRGAP-12CR1SEJS","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGAP-12CR1SEJS","GAP-12CR1SEJS","GAP-12CR1SEJS","AP-12CR1SEJS","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","0","544.990","0.000","0.00","0.00","270.540","270.540","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","253","public","0.00","0","N","Y","N","N","0.00","0.00","9","1088.91","39","1091.61","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2739","0.00","1100","0","5000","0","1200","0","N"
"19","ACFRGCAMHE18A2","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGCAMHE18A2","GCAMHE18A2","GCAMHE18A2","CAMHE18A2","AIR CONDITIONER","AIR CONDITIONER             18,000 BTU HEAT/COOL","18,000 BTU HEAT/COOL","0","1","817.990","0.000","0.00","0.00","409.000","409.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","72","public","0.00","3","","Y","","N","0.00","0.00","18","1619.82","78","1637.22","N",,"0","0","0","N","0","2018-12-13","2018-11-29","24","0","0","","579.99","539.99","0.00","","2078","0.00","1100","0","5000","0","1200","0","N"
"20","ACFRGFFRA1022R1","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGFFRA1022R1","GFFRA1022R1","GFFRA1022R1","FFRA1022R1","AIR CONDITIONER","AIR CONDITIONER             10000 BTU","10000 BTU","0","0","544.990","0.000","0.00","0.00","219.460","219.460","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","253","public","0.00","0","N","Y","N","N","0.00","0.00","9","1088.91","39","1091.61","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2739","0.00","1100","0","5000","0","1200","0","N"
"21","ACFRGFFRE1033SE","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGFFRE1033SE","GFFRE1033SE","GFFRE1033SE","FFRE1033SE","AIR CONDITIONER","AIR CONDITIONER             10000 BTU","10000 BTU","0","1","752.990","0.000","0.00","0.00","265.000","265.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","16","public","0.00","4","","Y","","N","0.00","0.00","12","1499.88","52","1507.48","N",,"0","0","0","N","0","2019-07-30","2019-07-16","24","0","0","","379.99","349.99","0.00","","2852","0.00","1100","0","5000","0","1200","0","N"
"22","ACFRGFFRE10L3Q1","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGFFRE10L3Q1","GFFRE10L3Q1","GFFRE10L3Q1","FFRE10L3Q1","AIR CONDITIONER","AIR CONDITIONER             10000 BTU","10000 BTU","0","0","323.990","0.000","0.00","0.00","229.950","229.950","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","253","public","0.00","0","N","Y","N","N","0.00","0.00","6","647.94","26","649.74","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2426","0.00","1100","0","5000","0","1200","0","N"
"23","ACFRGFFRE123WAE","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGFFRE123WAE","GFFRE123WAE","GFFRE123WAE","FFRE123WAE","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","1","726.990","0.000","0.00","0.00","305.000","305.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","16","public","0.00","2","","Y","","N","0.00","0.00","24","1439.76","104","1454.96","N",,"0","0","0","N","0","2019-07-30","2019-07-16","24","0","0","","439.99","409.99","0.00","","13104","0.00","1100","0","5000","0","1200","0","N"
"24","ACFRGFFRF1822R2","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGFFRF1822R2","GFFRF1822R2","GFFRF1822R2","FFRF1822R2","AIR CONDITIONER","AIR CONDITIONER             18000 BTU","18000 BTU","0","0","973.990","0.000","0.00","0.00","499.640","499.640","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","253","public","0.00","0","N","Y","N","N","0.00","0.00","18","1943.82","78","1949.22","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2478","0.00","1100","0","5000","0","1200","0","N"
"25","ACFRGFFRH1122U1","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGFFRH1122U1","GFFRH1122U1","GFFRH1122U1","FFRH1122U1","AIR CONDITIONER","AIR CONDITIONER             HEAT/COOL 11,000 BTU","HEAT/COOL 11,000 BTU","0","1","830.990","0.000","0.00","0.00","349.000","349.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","72","public","0.00","12","","Y","","N","0.00","0.00","24","1655.76","104","1662.96","N",,"0","0","0","N","0","2019-12-19","2019-11-26","24","0","0","","499.99","459.99","0.00","","15104","0.00","1100","0","5000","0","1200","0","N"
"26","ACFRGFFRH1822R2","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGFFRH1822R2","GFFRH1822R2","GFFRH1822R2","FFRH1822R2","AIR CONDITIONER","AIR CONDITIONER             18,000 BTU HEAT/COOL","18,000 BTU HEAT/COOL","0","1","778.990","0.000","0.00","0.00","429.000","429.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","72","public","0.00","4","","Y","","N","0.00","0.00","12","1547.88","52","1559.48","N",,"0","0","0","N","0","2019-12-19","2018-09-04","24","0","0","","609.99","569.99","0.00","","2952","0.00","1100","0","5000","0","1200","0","N"
"27","ACFRGFFRH2522R2","36",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CF","CFR","CFR","CF","FR","FRG","RGFFRH2522R2","GFFRH2522R2","GFFRH2522R2","FFRH2522R2","AIR CONDITIONER","AIR CONDITIONER             25000 BTU HEAT/COOL","25000 BTU HEAT/COOL","0","1","1246.990","0.000","0.00","0.00","549.000","549.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","72","public","0.00","2","","Y","","N","0.00","0.00","24","2471.76","104","2494.96","N",,"0","0","0","N","0","2019-12-10","2019-11-26","24","0","0","","779.99","719.99","0.00","","23104","0.00","1100","0","5000","0","1200","0","N"
"28","ACGEEAEM10AT","37",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CG","CGE","CGE","CG","GE","GEE","EEAEM10AT","EAEM10AT","EAEM10AT","AEM10AT","AIR CONDITIONER","AIR CONDITIONER             10000 BTU","10000 BTU","0","0","544.990","0.000","0.00","0.00","176.960","176.960","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","135","public","0.00","0","N","Y","N","N","0.00","0.00","9","1088.91","39","1091.61","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2739","0.00","1100","0","5000","0","1200","0","N"
"29","ACGEEAHC12LY","37",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CG","CGE","CGE","CG","GE","GEE","EEAHC12LY","EAHC12LY","EAHC12LY","AHC12LY","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","1","934.990","0.000","0.00","0.00","413.100","413.100","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","189","public","0.00","1","","Y","","N","0.00","0.00","24","1847.76","104","1870.96","N",,"0","0","0","N","0","2019-10-01","2019-10-01","24","0","0","","589.99","549.99","0.00","","17104","0.00","1100","0","5000","0","1200","0","N"
"30","ACGEEAHE12DX","37",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CG","CGE","CGE","CG","GE","GEE","EEAHE12DX","EAHE12DX","EAHE12DX","AHE12DX","AIR CONDITIONER","AIR CONDITIONER             12,000 BTU HEAT/COOL","12,000 BTU HEAT/COOL","0","1","1246.990","0.000","0.00","0.00","539.100","539.100","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","189","public","0.00","1","","Y","","N","0.00","0.00","24","2471.76","104","2494.96","N",,"0","0","0","N","0","2019-10-01","2019-10-01","24","0","0","","759.99","709.99","0.00","","23104","0.00","1100","0","5000","0","1200","0","N"
"31","ACGEEAHE18DX","37",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CG","CGE","CGE","CG","GE","GEE","EEAHE18DX","EAHE18DX","EAHE18DX","AHE18DX","AIR CONDITIONER","AIR CONDITIONER             18,000 BTU HEAT/COOL","18,000 BTU HEAT/COOL","0","1","973.990","0.000","0.00","0.00","539.100","539.100","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","189","public","0.00","1","","Y","","N","0.00","0.00","15","1934.85","65","1949.35","N",,"0","0","0","N","40","2020-04-30","2018-07-06","24","0","0","","759.99","709.99","0.00","","2965","0.00","1100","0","5000","0","1200","0","N"
"32","ACGEEQHM15AX","37",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CG","CGE","CGE","CG","GE","GEE","EEQHM15AX","EQHM15AX","EQHM15AX","QHM15AX","AIR CONDITIONER","AIR CONDITIONER             15000 BTU","15000 BTU","0","1","817.990","0.000","0.00","0.00","319.000","319.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","97","public","0.00","1","","Y","","N","0.00","0.00","18","1619.82","78","1637.22","N",,"0","0","0","N","0","2019-03-15","2019-04-29","24","0","0","","459.99","419.99","0.00","","2078","0.00","1100","0","5000","0","1200","0","N"
"33","ACHAIHPN12XCM","42",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CH","CHA","CHA","CH","HA","HAI","AIHPN12XCM","IHPN12XCM","IHPN12XCM","HPN12XCM","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","0","544.990","0.000","0.00","0.00","216.980","216.980","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","253","public","0.00","0","N","Y","N","N","0.00","0.00","9","1088.91","39","1091.61","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","2739","0.00","1100","0","5000","0","1200","0","N"
"34","ACHAIQHM15AX","42",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CH","CHA","CHA","CH","HA","HAI","AIQHM15AX","IQHM15AX","IQHM15AX","QHM15AX","AIR CONDITIONER","AIR CONDITIONER             15000 BTU","15000 BTU","0","1","817.990","0.000","0.00","0.00","908.990","908.990","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","97","public","0.00","1","","Y","","N","0.00","0.00","18","1619.82","78","1637.22","N",,"0","0","0","N","0","2019-04-30","2019-05-10","24","0","0","","1279.99","1189.99","0.00","","2078","0.00","1100","0","5000","0","1200","0","N"
